"bandera","codigo_ISO","nombrePais","capitalPais","continente","regionPais","subregionPais","paisIndependiente","tieneMar","ONU","latitud","longitud","areaPais","sueldoMinimo_USD","salarioMinimoPorHora_USD","indicador","dimension","categoria","anio","decada","unidad","valorIndicador","pib_per_capita","poblacion","pib_total","desempleo"
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2014,2010,"Counts",8477,10911.4978783227,4767119,52016408854.21,8.499
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2015,2010,"Counts",8517,11714.7105980803,4818038,56441920820.55,8.415
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2016,2010,"Counts",7529,12091.0301606335,4866998,58847019609.74,8.085
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2017,2010,"Counts",7000,12317.0902771322,4913177,60516044656.53,7.729
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2018,2010,"Counts",8204,12590.2493781628,4957818,62420164991.54,9.01
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2019,2010,"Counts",7478,12884.6859951947,4999553,64417670521.33,10.807
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2020,2020,"Counts",9047,12394.0493969354,5034320,62395610759.98,16.432
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2021,2020,"Counts",7156,12838.1185359009,5059988,64960725734.24,15.139
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2022,2020,"Counts",7482,13625.9008491478,5081765,69243626028.67,11.325
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Serious assault",2023,2020,"Counts",7253,16942.0268119304,5105525,86497941438.98,8.325
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2014,2010,"Counts",4,10911.4978783227,4767119,52016408854.21,8.499
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2015,2010,"Counts",11,11714.7105980803,4818038,56441920820.55,8.415
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2016,2010,"Counts",17,12091.0301606335,4866998,58847019609.74,8.085
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2017,2010,"Counts",10,12317.0902771322,4913177,60516044656.53,7.729
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2018,2010,"Counts",11,12590.2493781628,4957818,62420164991.54,9.01
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2019,2010,"Counts",13,12884.6859951947,4999553,64417670521.33,10.807
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2020,2020,"Counts",7,12394.0493969354,5034320,62395610759.98,16.432
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2021,2020,"Counts",14,12838.1185359009,5059988,64960725734.24,15.139
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2022,2020,"Counts",22,13625.9008491478,5081765,69243626028.67,11.325
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Kidnapping",2023,2020,"Counts",14,16942.0268119304,5105525,86497941438.98,8.325
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2014,2010,"Counts",7303,10911.4978783227,4767119,52016408854.21,8.499
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2015,2010,"Counts",7245,11714.7105980803,4818038,56441920820.55,8.415
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2016,2010,"Counts",5363,12091.0301606335,4866998,58847019609.74,8.085
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2017,2010,"Counts",6281,12317.0902771322,4913177,60516044656.53,7.729
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2018,2010,"Counts",6463,12590.2493781628,4957818,62420164991.54,9.01
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2019,2010,"Counts",8050,12884.6859951947,4999553,64417670521.33,10.807
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2020,2020,"Counts",5942,12394.0493969354,5034320,62395610759.98,16.432
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2021,2020,"Counts",6788,12838.1185359009,5059988,64960725734.24,15.139
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2022,2020,"Counts",7560,13625.9008491478,5081765,69243626028.67,11.325
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence",2023,2020,"Counts",9284,16942.0268119304,5105525,86497941438.98,8.325
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence: Rape",2014,2010,"Counts",1724,10911.4978783227,4767119,52016408854.21,8.499
"🇨🇷","CRI","Costa Rica","San José","North America","Americas","Central America","Si","No","Si",10,-84,51100,724.09,4.53,"Violent offences","by type of offence","Sexual violence: Rape",2015,2010,"Counts",1603,11714.7105980803,4818038,56441920820.55,8.415
